modelo,limiar,precisao_nao_alfabetizado,recall_nao_alfabetizado,f1_nao_alfabetizado,acuracia_balanceada,percentual_sinalizado
Logística C=1,0.1,0.41287001287001285,1.0,0.5844416104937147,0.5,100.0
Logística C=1,0.125,0.4128851952636611,1.0,0.5844568216126178,0.5000313145863343,99.99632285346571
Logística C=1,0.15,0.4201532336813641,0.9963484146775917,0.5910603899191631,0.514708308923314,97.90770362198934
Logística C=1,0.175,0.4273467969262849,0.9856608478802993,0.5962020202020202,0.5284351086022653,95.22706379849237
Logística C=1,0.2,0.43254952932372287,0.9780904880655504,0.5998306797389191,0.5378959987143058,93.35907335907336
Logística C=1,0.225,0.4325847123719464,0.9778232988956181,0.5998142482517482,0.5379502916473456,93.32597904026476
Logística C=1,0.25,0.43658253669853203,0.9721232632703954,0.602555963454691,0.5449643685300434,91.93234050376907
Logística C=1,0.275,0.44634636310370807,0.9498574991093695,0.6073116565115881,0.5606680869380379,87.86173929031071
Logística C=1,0.3,0.4479393086988024,0.9360527253295333,0.6059208440229454,0.5624085258763907,86.27688913403199
Logística C=1,0.325,0.454549511357044,0.9071962949768436,0.6056425959508874,0.5708399587240954,82.40117668689098
Logística C=1,0.35,0.4724436741767764,0.8497506234413965,0.6072621964802851,0.5912497089149114,74.25997425997426
Logística C=1,0.375,0.483969212027244,0.7784111150694691,0.5968518455287329,0.5973849274852575,66.40558926273212
Logística C=1,0.4,0.4987138263665595,0.6906840042750267,0.5792068115617298,0.6012448016615317,57.17962860820004
Logística C=1,0.425,0.5078093388362871,0.5588706804417528,0.5321178715285139,0.5889800261355755,45.43849972421401
Logística C=1,0.45,0.5194492586173696,0.4804951905949412,0.49921347274914407,0.5839564949029068,38.19084390512962
Logística C=1,0.475,0.5369256948383437,0.42153544709654434,0.47228458813550867,0.5829415821316003,32.41404669976099
Logística C=1,0.5,0.5711107579850627,0.3200926255789099,0.410250556475087,0.5755282442731401,23.14028314028314
Logística C=1,0.525,0.5875,0.25115781973637336,0.3518842026453706,0.5635760289262439,17.650303364589078
Logística C=1,0.55,0.6041351487644983,0.21339508371927324,0.3153876530209293,0.5575336413147628,14.583563154991728
Logística C=1,0.575,0.6172878170999061,0.17554328464552904,0.27335136259621384,0.5495052178222322,11.741128883986027
Logística C=1,0.6,0.6225374310480694,0.14071962949768435,0.22955106784832197,0.5403604410405689,9.332597904026475
Logística C=1,0.625,0.6369327073552425,0.07249732810830067,0.1301775147928994,0.5217186959950284,4.699393270821842
Logística C=1,0.65,0.6243822075782537,0.03375489846811543,0.06404731727925644,0.509737723549834,2.2320279463136607
Logística C=1,0.675,0.6265822784810127,0.008817242607766299,0.017389776919023364,0.5025610607101586,0.5809891524177239
Logística C=1,0.7,0.7142857142857143,0.003117206982543641,0.006207324643078833,0.5011201992825914,0.18018018018018017
Logística C=1,0.725,0.7307692307692307,0.0016921980762379764,0.003376577216989515,0.5006268969337788,0.09560580989152417
Logística C=1,0.75,0.0,0.0,0.0,0.5,0.0
Logística C=1,0.775,0.0,0.0,0.0,0.5,0.0
Logística C=1,0.8,0.0,0.0,0.0,0.5,0.0
Logística C=1,0.825,0.0,0.0,0.0,0.5,0.0
Logística C=1,0.85,0.0,0.0,0.0,0.5,0.0
Logística C=1,0.875,0.0,0.0,0.0,0.5,0.0
Logística C=1,0.9,0.0,0.0,0.0,0.5,0.0
Floresta profundidade=10,0.1,0.41287001287001285,1.0,0.5844416104937147,0.5,100.0
Floresta profundidade=10,0.125,0.41287001287001285,1.0,0.5844416104937147,0.5,100.0
Floresta profundidade=10,0.15,0.41435586899531074,0.9994656216601354,0.5858369658844719,0.5030521569815051,99.58815958815958
Floresta profundidade=10,0.175,0.4230463275124058,0.9946562166013537,0.593616286177479,0.5203756438427324,97.07299135870564
Floresta profundidade=10,0.2,0.4271643735867857,0.9926968293551834,0.5973044666541626,0.5282892927385925,95.94778451921309
Floresta profundidade=10,0.225,0.42959909787300227,0.9839686498040613,0.5980782243876032,0.5326306579639709,94.56517742232028
Floresta profundidade=10,0.25,0.4298392433147795,0.9835233345208407,0.598228554402882,0.5330656066353813,94.46957161242877
Floresta profundidade=10,0.275,0.4392735527809308,0.9650872817955112,0.6037441497659907,0.5494002827215171,90.70785070785071
Floresta profundidade=10,0.3,0.44724556489262374,0.9385464909155682,0.6058062661684392,0.5614320730396718,86.64092664092664
Floresta profundidade=10,0.325,0.44969957081545064,0.933202707516922,0.6069277108433735,0.5650857277798802,85.67751424894283
Floresta profundidade=10,0.35,0.4575667388167388,0.9037228357677235,0.607532032091965,0.5751782588683924,81.54440154440155
Floresta profundidade=10,0.375,0.4740941936145134,0.8239223370146064,0.6018672131680817,0.5906108835445676,71.7521603235889
Floresta profundidade=10,0.4,0.49411108356062483,0.7099216245101532,0.5826754385964912,0.5994024731807357,59.31972789115646
Floresta profundidade=10,0.425,0.5050546729936043,0.6540790879942999,0.5699871939151694,0.6016684661490883,53.46938775510204
Floresta profundidade=10,0.45,0.5408199224715141,0.4100463127894549,0.4664404032217213,0.582614438413892,31.30354844640559
