,count,mean,std,min,25%,50%,75%,max,percentual_ausente
populacao_2010,3839.0,31345.994529825475,148389.10886078983,1020.0,5435.0,10990.0,22733.0,6320446.0,0.10408534998698933
idhm_2010,3839.0,0.6490005209690023,0.06935075599968242,0.443,0.592,0.651,0.705,0.847,0.10408534998698933
renda_pc_2010,3839.0,466.34186246418335,236.60979444135864,96.25,267.65,417.88,618.995,2000.29,0.10408534998698933
analfabetismo_adultos_2010,3839.0,18.734800729356603,10.847296659577685,0.97,9.55,16.29,27.85,47.38,0.10408534998698933
agua_encanada_2010,3839.0,84.15630372492836,14.912877180385166,0.5,77.835,88.76,95.13499999999999,100.0,0.10408534998698933
agua_esgoto_inadequados_2010,3839.0,10.20019536337588,13.105015444289602,0.0,0.78,4.6,14.98,76.98,0.10408534998698933
