ano,id_municipio,rede,taxa_alfabetizacao,meta_alfabetizacao_2024,meta_alfabetizacao_2025,nome_municipio,sigla_uf,nome_regiao,situacao_meta_2024,distancia_meta_2024_pp
2024,2111508,Municipal,66.16,67.09,69.52,São Mateus do Maranhão,MA,Nordeste,Abaixo da meta,-0.9300000000000068
2024,5200803,Municipal,64.99,67.1,69.53,Alvorada do Norte,GO,Centro-Oeste,Abaixo da meta,-2.1099999999999994
2024,3534906,Municipal,53.27,67.13,69.55,Pacaembu,SP,Sudeste,Abaixo da meta,-13.859999999999992
2024,4300059,Municipal,55.1,67.13,69.55,Água Santa,RS,Sul,Abaixo da meta,-12.029999999999994
2024,3545001,Municipal,65.52,67.15,69.57,Salesópolis,SP,Sudeste,Abaixo da meta,-1.6300000000000097
2024,3148608,Municipal,61.48,67.16,69.58,Peçanha,MG,Sudeste,Abaixo da meta,-5.68
2024,3200359,Municipal,83.48,67.16,69.58,Alto Rio Novo,ES,Sudeste,Atingiu ou superou,16.320000000000007
2024,3131307,Municipal,70.92,67.17,69.58,Ipatinga,MG,Sudeste,Atingiu ou superou,3.75
2024,1303007,Municipal,57.1,67.18,69.59,Nhamundá,AM,Norte,Abaixo da meta,-10.080000000000005
2024,4202537,Municipal,55.49,67.18,69.59,Bom Jesus,SC,Sul,Abaixo da meta,-11.690000000000005
2024,4114708,Municipal,49.96,67.2,69.61,Maria Helena,PR,Sul,Abaixo da meta,-17.240000000000002
2024,2410009,Municipal,63.16,67.21,69.62,Pilões,RN,Nordeste,Abaixo da meta,-4.049999999999997
2024,4314175,Municipal,55.9,67.21,69.62,Pedras Altas,RS,Sul,Abaixo da meta,-11.309999999999995
2024,3538808,Municipal,71.36,67.22,69.62,Piraju,SP,Sudeste,Atingiu ou superou,4.140000000000001
2024,2102556,Municipal,61.7,67.22,69.62,Campestre do Maranhão,MA,Nordeste,Abaixo da meta,-5.519999999999996
2024,4105607,Municipal,63.42,67.22,69.62,Cidade Gaúcha,PR,Sul,Abaixo da meta,-3.799999999999997
