id_municipio,nome_municipio,sigla_uf,nome_regiao,qtd_alunos,qtd_nao_alfabetizados,taxa_nao_alfabetizacao_amostra,escore_medio_modelo,proporcao_sinalizada
2105922,Lagoa do Mato,MA,Nordeste,7,2,0.2857142857142857,0.384379667852202,1.0
2105948,Lago dos Rodrigues,MA,Nordeste,3,0,0.0,0.3959095843067851,1.0
2105963,Lagoa Grande do Maranhão,MA,Nordeste,6,0,0.0,0.44853853031559715,1.0
2105989,Lajeado Novo,MA,Nordeste,7,4,0.5714285714285714,0.45239215020522117,1.0
2106003,Lima Campos,MA,Nordeste,15,1,0.06666666666666667,0.3952921153421114,1.0
2106102,Loreto,MA,Nordeste,15,6,0.4,0.42508748477042474,1.0
2106201,Luís Domingues,MA,Nordeste,7,2,0.2857142857142857,0.4729856025746376,1.0
2106300,Magalhães de Almeida,MA,Nordeste,13,3,0.23076923076923078,0.395945556207873,1.0
2106326,Maracaçumé,MA,Nordeste,44,28,0.6363636363636364,0.4457254161767223,1.0
2106359,Marajá do Sena,MA,Nordeste,6,4,0.6666666666666666,0.4096940944405454,1.0
2106375,Maranhãozinho,MA,Nordeste,12,0,0.0,0.4586701758904441,1.0
2106409,Mata Roma,MA,Nordeste,28,6,0.21428571428571427,0.4081184298859365,1.0
2106508,Matinha,MA,Nordeste,22,10,0.45454545454545453,0.47196283505683245,1.0
2106607,Matões,MA,Nordeste,32,26,0.8125,0.39557816827807946,1.0
2106631,Matões do Norte,MA,Nordeste,6,2,0.3333333333333333,0.39131588662781747,1.0
2106672,Milagres do Maranhão,MA,Nordeste,3,0,0.0,0.38287112624436737,1.0
2106706,Mirador,MA,Nordeste,21,10,0.47619047619047616,0.38946210015342675,1.0
2106755,Miranda do Norte,MA,Nordeste,21,13,0.6190476190476191,0.452336312218505,1.0
2106805,Mirinzal,MA,Nordeste,20,5,0.25,0.4745403026643986,1.0
2106904,Monção,MA,Nordeste,28,16,0.5714285714285714,0.46015592774539626,1.0
2107001,Montes Altos,MA,Nordeste,14,6,0.42857142857142855,0.4780573502505582,1.0
