modelo,acuracia_validacao,acuracia_balanceada,precisao_nao_alfabetizado,recall_nao_alfabetizado,f1_nao_alfabetizado,roc_auc_risco,average_precision_risco,f1_treino_nao_alfabetizado,tempo_treino_segundos,diferenca_f1_treino_validacao
Regressão logística,0.6200404486118772,0.5755282442731401,0.5711107579850627,0.3200926255789099,0.410250556475087,0.6420307534896352,0.5351457814578752,0.41596474661630467,3.213648823000767,0.0057141901412176566
Random Forest,0.6167677881963596,0.553457727729277,0.6163394919168591,0.1901496259351621,0.29063435883474,0.6455334411334529,0.5422763645959351,0.3801199004907492,17.908154300000206,0.0894855416560092
Referência — classe majoritária,0.5871299871299871,0.5,0.0,0.0,0.0,0.5,0.41287001287001285,0.0,0.7183088419997148,0.0
