variavel,queda_auc_media,desvio_entre_repeticoes,nome
sigla_uf,0.13465460825653305,0.004233345430489844,Unidade da Federação
idhm_2010,0.033438218418469924,0.001433037180165381,IDHM
analfabetismo_adultos_2010,0.01735879135201568,0.000898626530968771,Analfabetismo adulto
renda_pc_2010,0.0035143818066693646,0.0006114773804138667,Renda per capita
agua_esgoto_inadequados_2010,0.002469429009587354,0.0005380320533222038,Água e esgoto inadequados
agua_encanada_2010,0.0009839272837598445,0.000246238083174678,Água encanada
rede,0.0009235036307629008,0.0002735980032662106,Rede de ensino
populacao_2010,-0.000686458794187872,7.594927716169981e-05,População municipal
