modelo,limiar,precisao_nao_alfabetizado,recall_nao_alfabetizado,f1_nao_alfabetizado,acuracia_balanceada,percentual_sinalizado
Logística C=0.1,0.35,0.47107680281414893,0.8587459921624511,0.6084048460373549,0.5903612844259365,75.26383526383526
Floresta profundidade=10,0.35,0.4575667388167388,0.9037228357677235,0.607532032091965,0.5751782588683924,81.54440154440155
Logística balanceada,0.35,0.44634636310370807,0.9498574991093695,0.6073116565115881,0.5606680869380379,87.86173929031071
Logística C=1,0.275,0.44634636310370807,0.9498574991093695,0.6073116565115881,0.5606680869380379,87.86173929031071
Floresta profundidade=6,0.35,0.44836852207293665,0.9362308514428215,0.606350762841404,0.563123880659721,86.21070049641479
